threads,simd,classifier,tokens,tok_s
1,scalar,bf16,251,25.96
1,scalar,int8,251,25.56
1,scalar,int4,251,13.15
1,avx2,bf16,251,24.75
1,avx2,int8,251,27.19
1,avx2,int4,251,14.96
1,avx512f,bf16,251,23.80
1,avx512f,int8,251,28.22
1,avx512f,int4,251,13.38
1,vnni,bf16,251,25.60
1,vnni,int8,251,26.01
1,vnni,int4,251,13.08
2,scalar,bf16,251,35.94
2,scalar,int8,251,40.76
2,scalar,int4,251,22.50
2,avx2,bf16,251,40.19
2,avx2,int8,251,45.34
2,avx2,int4,251,26.03
2,avx512f,bf16,251,42.66
2,avx512f,int8,251,44.15
2,avx512f,int4,251,25.45
2,vnni,bf16,251,39.70
2,vnni,int8,251,42.51
2,vnni,int4,251,28.03
3,scalar,bf16,251,55.06
3,scalar,int8,251,53.42
3,scalar,int4,251,33.40
3,avx2,bf16,251,48.63
3,avx2,int8,251,52.79
3,avx2,int4,251,31.74
3,avx512f,bf16,251,48.16
3,avx512f,int8,251,62.39
3,avx512f,int4,251,30.93
3,vnni,bf16,251,55.29
3,vnni,int8,251,68.99
3,vnni,int4,251,31.46
4,scalar,bf16,251,42.43
4,scalar,int8,251,51.67
4,scalar,int4,251,31.95
4,avx2,bf16,251,57.94
4,avx2,int8,251,58.91
4,avx2,int4,251,39.53
4,avx512f,bf16,251,62.07
4,avx512f,int8,251,55.25
4,avx512f,int4,251,28.26
4,vnni,bf16,251,48.17
4,vnni,int8,251,48.96
4,vnni,int4,251,32.57
